id,title,categories,description,priceInfo,images,rating,availability,attributes
1,新潟県産 有機栽培完熟トマト,"[""野菜"", ""vegetables""]",新潟の豊かな土壌で有機栽培された、甘みと酸味のバランスが抜群の完熟トマト。サラダやパスタソースに最適です。,"{""currencyCode"": ""JPY"", ""price"": 498.0, ""originalPrice"": 498.0}","[{""uri"": ""https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.8, ""ratingCount"": 32}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""新潟県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1パック（3個入）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""22 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""1.0 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.1 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""4.7 g""]}}]"
2,北海道産 有機たまねぎ,"[""野菜"", ""vegetables""]",北の大地でじっくり育ったたまねぎ。熱を通すことで甘みがさらに引き立ち、スープやカレーに深いコクを与えます。,"{""currencyCode"": ""JPY"", ""price"": 320.0, ""originalPrice"": 320.0}","[{""uri"": ""https://images.unsplash.com/photo-1508747703725-719777637510?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.6, ""ratingCount"": 18}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""北海道産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1袋（4個入）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""37 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""1.0 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.1 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""8.4 g""]}}]"
3,信州高原 朝採れシャキシャキレタス,"[""野菜"", ""vegetables""]",標高の高い信州高原で、早朝に収穫された新鮮なレタス。みずみずしく、パリッとした食感をお楽しみください。,"{""currencyCode"": ""JPY"", ""price"": 248.0, ""originalPrice"": 248.0}","[{""uri"": ""https://images.unsplash.com/photo-1506073881649-4e23be3e9ed0?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.7, ""ratingCount"": 25}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""長野県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1個""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""12 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.6 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.1 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""2.8 g""]}}]"
4,愛媛県産 無農薬プレミアムアボカド,"[""野菜"", ""vegetables""]",国内では大変稀少な、愛媛県産の無農薬アボカド。とろけるような濃厚な味わいと、上品な後味が特徴です。,"{""currencyCode"": ""JPY"", ""price"": 398.0, ""originalPrice"": 398.0}","[{""uri"": ""https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 41}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""愛媛県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1個""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""187 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""2.5 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""18.7 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""6.2 g""]}}]"
5,長野県産 特選サンふじりんご,"[""果物"", ""fruits""]",太陽の光をたっぷりと浴びて蜜がしっかり入ったサンふじ。甘み、酸味、そして歯ごたえの三拍子が揃った一品です。,"{""currencyCode"": ""JPY"", ""price"": 580.0, ""originalPrice"": 580.0}","[{""uri"": ""https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 54}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""長野県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1袋（2個入）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""54 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.2 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.1 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""14.3 g""]}}]"
6,福岡県産 朝摘みあまおういちご,"[""果物"", ""fruits""]",「あかい・まるい・おおきい・うまい」の頭文字を取った、日本を代表する高級いちご。豊かな香りとジューシーな果肉をご堪能ください。,"{""currencyCode"": ""JPY"", ""price"": 980.0, ""originalPrice"": 980.0}","[{""uri"": ""https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 68}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""福岡県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1パック（約250g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""34 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.9 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.1 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""8.5 g""]}}]"
7,エクアドル産 有機プレミアムバナナ,"[""果物"", ""fruits""]",高地でゆっくりと時間をかけて育てられた有機栽培バナナ。コクのある甘みともっちりとした食感が人気です。,"{""currencyCode"": ""JPY"", ""price"": 348.0, ""originalPrice"": 348.0}","[{""uri"": ""https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.5, ""ratingCount"": 15}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""エクアドル産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1袋（3〜4本）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""86 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""1.1 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.2 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""22.5 g""]}}]"
8,北海道産 黒毛和牛A5ランクサーロインステーキ,"[""精肉"", ""meat""]",最高品質の黒毛和牛A5ランクサーロイン。きめ細やかな霜降りと、お口の中でとろけるような極上の旨味をお楽しみいただけます。,"{""currencyCode"": ""JPY"", ""price"": 3800.0, ""originalPrice"": 3800.0}","[{""uri"": ""https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 5.0, ""ratingCount"": 47}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""北海道産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1枚（約200g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""498 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""11.7 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""47.5 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.3 g""]}}]"
9,鹿児島県産 黒豚バラ肉薄切り,"[""精肉"", ""meat""]",鹿児島の大自然でサツマイモを食べて育った黒豚。脂身の甘さとさっぱりとした口溶けが格別で、しゃぶしゃぶや肉巻きに最適です。,"{""currencyCode"": ""JPY"", ""price"": 1280.0, ""originalPrice"": 1280.0}","[{""uri"": ""https://images.unsplash.com/photo-1551028150-64b9f398f678?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.8, ""ratingCount"": 29}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""鹿児島県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""300g""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""386 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""14.2 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""35.0 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.1 g""]}}]"
10,岩手県産 南部どり もも肉（地鶏）,"[""精肉"", ""meat""]",こだわりの無添加飼料で育てられた銘柄鶏「南部どり」。弾力ある適度な歯ごたえと、コク深い味わいが特徴です。,"{""currencyCode"": ""JPY"", ""price"": 780.0, ""originalPrice"": 780.0}","[{""uri"": ""https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.7, ""ratingCount"": 31}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""岩手県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""300g""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""200 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""16.6 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""14.0 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.0 g""]}}]"
